p0,p1,p2,p3,p4,p5,objective,elapsed_sec
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,8,32,0.0006515,1248.2739238739014
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,50,100,20,0.000673,1258.4802734851837
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,96,20,4,0.0036485,1269.476310968399
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,2048,256,0.0003645,1279.2213697433472
 , , ,100,8,128,0.00026,1289.1438570022583
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,2048,4,0.0004105,1298.9436054229736
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,80,80,64,0.000489,1308.7076358795166
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,50,8,0.0007520000000000001,1318.952888250351
 , , ,16,16,80,0.00026900000000000003,1328.9438621997833
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,32,80,64,0.0005085000000000001,1338.8561298847198
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,80,16,0.0005755000000000001,1349.0857136249542
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,32,8,4,0.002805,1359.8035464286804
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,100,50,16,0.001705,1370.7244567871094
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,128,128,0.00049,1381.026689529419
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,2048,50,0.0003995,1390.6325912475586
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,4,64,20,0.000466,1400.887921333313
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,8,4,0.0018355,1412.3034777641296
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,80,64,0.0002825,1421.443451166153
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,2048,64,0.00040950000000000003,1431.0725967884064
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,32,32,0.00040649999999999996,1440.8013582229614
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,64,16,4,0.0027385,1451.7686398029327
 , , ,80,16,256,0.000247,1461.2763183116913
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,64,64,0.0004805,1470.9439809322357
 , , ,100,50,50,0.0002855,1480.1994965076447
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,80,64,20,0.0005125,1490.0303633213043
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,80,128,50,0.00046199999999999995,1499.7476031780243
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,50,64,8,0.001316,1510.4294261932373
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,64,80,0.0005705,1520.599852323532
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,80,100,256,0.000486,1530.5363173484802
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,20,20,20,0.000657,1540.5597200393677
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,32,20,0.0004705,1550.516000509262
 , , ,128,32,128,0.000261,1560.2844469547272
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,4,4,0.003032,1571.1847286224365
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,8,20,0.000676,1582.5126979351044
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,32,20,0.00046100000000000004,1592.383799791336
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,20,80,0.0004635,1602.0201268196106
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,16,4,0.003785,1613.5725312232971
 , , ,4,64,4,0.00027749999999999997,1623.7013261318207
 , , ,64,20,4,0.000395,1633.2681305408478
 , , ,50,100,256,0.0002795,1642.435604095459
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,2048,20,0.000383,1652.0529732704163
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,128,32,0.00048150000000000005,1661.8881213665009
 , , ,128,32,50,0.0002645,1671.0663793087006
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,8,128,64,0.000712,1681.387526512146
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,20,128,0.000463,1691.0850276947021
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,80,100,0.001025,1701.777170419693
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,100,16,0.00132,1712.551330089569
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,128,8,0.0013154999999999998,1722.7682547569275
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,128,64,100,0.0004625,1732.5597336292267
 , , ,8,50,8,0.0002845,1742.1967597007751
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,4,20,0.000255,1752.488638162613
 , , ,16,128,20,0.000267,1762.0167489051819
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,2048,32,0.00039900000000000005,1771.855805158615
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,32,16,0.0010175000000000002,1781.9288294315338
 , , ,8,16,100,0.00026900000000000003,1792.388060092926
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,4,50,100,0.0006975,1802.8642642498016
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,4,100,0.0006054999999999999,1813.335691690445
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,50,32,32,0.0006735,1823.4682297706604
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,100,80,0.0004715,1833.1371185779572
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,64,80,0.0005070000000000001,1842.9284405708313
 , , ,16,2048,8,0.00028399999999999996,1852.6213369369507
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,128,128,0.000709,1862.8055193424225
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,4,8,0.000294,1872.393028497696
 , , ,8,16,32,0.000252,1883.0462584495544
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,100,50,64,0.0006739999999999999,1893.2291176319122
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,16,50,0.0008424999999999999,1904.0503823757172
