p0,p1,p2,p3,p4,p5,p6,p7,objective,elapsed_sec
32,160,#pragma clang loop unrolling full, ,4,96,sockets,explicit,1.63455,4344.836329460144
4,64, , ,256,64,cores,disabled,4.416980000000001,4374.276041984558
256,128,#pragma clang loop unrolling full, ,128,4,threads,explicit,1.6759300000000001,4395.021055936813
48,20, , ,8,4,cores,balanced,1.6559149999999998,4415.743267059326
256,200,#pragma clang loop unrolling full, ,256,8,cores,scatter,1.68472,4436.552497386932
64,80, , ,16,32,threads,scatter,1.650465,4457.264139652252
48,10,#pragma clang loop unrolling full,#pragma omp parallel for,8,16,cores,compact,1.655605,4478.107716321945
4,200,#pragma clang loop unrolling full,#pragma omp parallel for,128,96,threads,explicit,4.59563,4507.689029932022
8,160,#pragma clang loop unrolling full, ,2,96,sockets,none,2.3240100000000004,4530.504733085632
64,200,#pragma clang loop unrolling full,#pragma omp parallel for,96,64,cores,balanced,1.659365,4551.41331911087
8,200,#pragma clang loop unrolling full,#pragma omp parallel for,16,32,threads,scatter,2.409825,4574.207145929337
8,10, ,#pragma omp parallel for,8,256,threads,disabled,2.397855,4597.053337574005
64,100,#pragma clang loop unrolling full,#pragma omp parallel for,96,2,sockets,none,1.668125,4617.877350330353
192,20,#pragma clang loop unrolling full,#pragma omp parallel for,16,96,sockets,compact,1.685905,4639.09369802475
16,128,#pragma clang loop unrolling full, ,8,32,cores,balanced,1.65888,4659.905916452408
192,20,#pragma clang loop unrolling full, ,32,4,sockets,scatter,1.6787800000000002,4680.617625951767
192,160,#pragma clang loop unrolling full, ,8,32,cores,explicit,1.670185,4701.436891317368
128,20, , ,256,8,sockets,explicit,1.67263,4722.267886638641
128,20, , ,2,8,cores,scatter,1.658075,4742.948777914047
192,160,#pragma clang loop unrolling full, ,96,128,cores,balanced,1.65822,4763.794046878815
16,80, , ,96,2,cores,balanced,1.663665,4784.454918622971
128,200,#pragma clang loop unrolling full,#pragma omp parallel for,2,256,threads,compact,1.67252,4805.868096113205
256,160, , ,64,32,threads,balanced,1.663475,4826.628356695175
32,64, ,#pragma omp parallel for,32,96,threads,none,1.64684,4847.389526128769
48,128,#pragma clang loop unrolling full,#pragma omp parallel for,32,32,threads,scatter,1.660765,4868.26921248436
