p1,p2,p3,p4,p5,objective,elapsed_sec
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,20,0.0045175,890.2717659473419
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,8,50,0.022080500000000003,898.5621047019958
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,50,16,0.0119585,905.9383101463318
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,100,16,0.011557,913.5216448307037
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,8,80,0.022828,920.9756934642792
 , ,8,4,128,0.025622,928.2723410129547
 , ,128,64,8,0.008839,936.1134822368622
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,16,4,0.002955,944.2219247817993
#pragma clang loop(j2) pack array(data) allocate(malloc), ,128,32,50,0.023647500000000002,952.5030574798584
#pragma clang loop(j2) pack array(data) allocate(malloc), ,8,2048,128,0.029155,960.0445785522461
#pragma clang loop(j2) pack array(data) allocate(malloc), ,80,32,80,0.025721,968.2164525985718
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,64,32,0.016134500000000003,975.7094616889954
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,128,100,0.0248975,984.6707060337067
 , ,80,80,32,0.0164215,991.8870067596436
#pragma clang loop(j2) pack array(data) allocate(malloc), ,96,80,4,0.0023505,1001.3122055530548
#pragma clang loop(j2) pack array(data) allocate(malloc), ,100,2048,128,0.029796,1008.9215381145477
 , ,32,2048,20,0.001387,1019.6962080001831
#pragma clang loop(j2) pack array(data) allocate(malloc), ,100,32,80,0.0256895,1027.896446943283
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,16,4,0.002879,1035.3885655403137
#pragma clang loop(j2) pack array(data) allocate(malloc), ,64,32,4,0.0025665,1044.7709033489227
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,50,100,0.024031999999999998,1052.7285649776459
#pragma clang loop(j2) pack array(data) allocate(malloc), ,8,32,256,0.0317135,1060.8577597141266
#pragma clang loop(j2) pack array(data) allocate(malloc), ,16,32,16,0.018050999999999998,1068.7725999355316
#pragma clang loop(j2) pack array(data) allocate(malloc), ,128,20,256,0.031951,1077.0934529304504
 , ,80,128,128,0.0257555,1084.4963111877441
 , ,4,64,50,0.020424,1093.237049818039
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,16,256,0.027627,1100.4924919605255
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,16,128,0.0265815,1108.8148901462555
 , ,32,4,64,0.022228499999999998,1116.1127786636353
 , ,80,16,20,0.0017469999999999999,1127.9398548603058
 , ,32,100,4,0.0011985,1135.8960180282593
 , ,96,16,256,0.027556,1143.1131119728088
#pragma clang loop(j2) pack array(data) allocate(malloc), ,64,4,64,0.028557,1153.7793276309967
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,50,80,0.0227225,1161.436674118042
 , ,20,8,32,0.016559499999999998,1168.8152060508728
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,50,8,0.0087905,1176.2272908687592
 , ,96,20,4,0.0011985,1184.1764695644379
#pragma clang loop(j2) pack array(data) allocate(malloc), ,96,2048,256,0.031699000000000005,1191.5850758552551
#pragma clang loop(j2) pack array(data) allocate(malloc), ,4,128,8,0.0129765,1199.6660735607147
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,20,100,0.0240925,1207.2166361808777
 , ,16,2048,32,0.016479,1214.0369474887848
#pragma clang loop(j2) pack array(data) allocate(malloc), ,100,50,50,0.022790499999999998,1222.0735363960266
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,50,128,0.02547,1229.5697445869446
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,64,16,0.012837000000000001,1238.6525523662567
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,2048,20,0.004523,1247.7605097293854
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,16,32,0.0179065,1255.9610047340393
 , ,100,8,256,0.02758,1263.259603023529
 , ,80,100,4,0.001219,1271.9088516235352
#pragma clang loop(j2) pack array(data) allocate(malloc), ,20,100,80,0.0257965,1279.884670495987
#pragma clang loop(j2) pack array(data) allocate(malloc), ,128,8,64,0.026701,1288.0193276405334
 , ,50,100,8,0.0090235,1295.356124162674
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,16,16,0.011176,1302.7854330539703
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,64,128,0.026262,1311.2488315105438
