p1,p2,p3,p4,p5,objective,elapsed_sec
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,64,128,17.716450000000002,9194.08635187149
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,2048,100,17.7622505,9252.39923453331
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,50,8,17.729198,9310.762172937393
 , ,96,8,50,17.667471999999997,9369.067769527435
 , ,8,4,16,17.733007999999998,9427.354704141617
 , ,20,16,64,17.735572,9485.751349687576
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,64,100,17.70918,9543.91482591629
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,2048,50,17.7448825,9602.370828866959
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,32,32,17.6862085,9660.701325416565
 , ,20,8,100,17.730952000000002,9718.908876657486
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,16,4,17.726471,9777.185834646225
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,8,16,17.751918,9835.533853769302
#pragma clang loop(j2) pack array(path) allocate(malloc), ,80,4,256,17.750798500000002,9894.097693681717
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,16,256,17.72834,9952.373909950256
 , ,32,100,32,17.6889495,10010.734450340271
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,100,80,17.74525,10069.105550289154
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,32,50,17.660534,10127.25462937355
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,100,8,17.729959,10185.69043469429
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,64,128,17.7437675,10244.065866231918
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,4,8,17.716959,10302.422825574875
 , ,4,8,64,17.7547915,10360.680567741394
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,80,20,17.678514999999997,10418.782934188843
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,32,128,17.7218845,10477.068993330002
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,16,50,17.746633,10535.376007318497
#pragma clang loop(j2) pack array(path) allocate(malloc), ,50,100,16,17.6997535,10593.69004368782
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,80,16,17.7105815,10651.893495321274
 , ,96,128,100,17.742639500000003,10710.330151557922
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,128,50,17.726002,10768.460287570953
 , ,50,8,32,17.726383,10826.865900278091
 , ,96,16,4,17.723679,10885.271070241928
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,64,100,17.693204,10943.393369913101
#pragma clang loop(j2) pack array(path) allocate(malloc), ,32,2048,100,17.675057000000002,11001.650089025497
 , ,20,100,16,17.7231205,11059.867800951004
#pragma clang loop(j2) pack array(path) allocate(malloc), ,4,100,20,17.7063045,11118.096650123596
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,20,20,17.741063,11176.539779663086
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,4,50,17.66218,11234.682044506073
 , ,16,4,100,17.703310000000002,11292.989954471588
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,128,20,17.688456,11351.166789531708
#pragma clang loop(j2) pack array(path) allocate(malloc), ,8,80,64,17.7331915,11409.525111675262
 , ,100,100,80,17.7056465,11467.599374771118
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,32,100,17.690731,11525.88636636734
#pragma clang loop(j2) pack array(path) allocate(malloc), ,32,8,8,17.6833155,11584.222845077515
 , ,20,80,80,17.692985999999998,11642.357717514038
 , ,4,64,80,17.702882,11700.695949077606
