p0,p1,p2,p3,p4,p5,p6,p7,objective,elapsed_sec
2,cores,spread,static, ,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,4.02794,40624.814660310745
2,sockets,spread,static, ,#pragma unroll,#pragma omp for, ,4.00625,40874.6499683857
2,cores,spread,dynamic, ,#pragma unroll,#pragma omp for, ,4.02608,41124.64923930168
48,cores,spread,static, ,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,4.06156,41372.855906009674
48,cores,spread,static, ,#pragma unroll,#pragma omp for nowait, ,4.02714,41621.18512535095
2,cores,master,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for, ,4.02708,41868.84385943413
96,threads,spread,static, ,#pragma unroll,#pragma omp for, ,4.03186,42116.96757912636
48,cores,spread,static, ,#pragma unroll,#pragma omp for, ,4.05621,42365.29589986801
96,cores,spread,static, ,#pragma unroll,#pragma omp for nowait, ,4.12435,42614.972702503204
16,cores,spread,static, ,#pragma unroll,#pragma omp for nowait, ,4.08989,42863.09733700752
96,cores,close,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait, ,4.08449,43111.476261377335
96,cores,close,static, ,#pragma unroll,#pragma omp for, ,4.08707,43361.13678026199
96,cores,spread,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for, ,4.11203,43613.136627197266
256,cores,spread,static,#pragma omp parallel for,#pragma unroll,#pragma omp for, ,4.03375,43863.13655900955
96,threads,master,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,4.03373,44111.34215474129
64,cores,close,static, ,#pragma unroll,#pragma omp for, ,4.01709,44359.13683128357
96,cores,master,dynamic,#pragma omp parallel for,#pragma unroll (6),#pragma omp for nowait, ,4.0191,44607.13628911972
64,cores,spread,static,#pragma omp parallel for,#pragma unroll,#pragma omp for, ,4.04569,44855.13625526428
