p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,elapsed_sec
8,1600,#pragma clang loop unrolling full, ,96,256,20,disabled,threads,0.25448000000000004,1396.0479283332825
16,400,#pragma clang loop unrolling full,#pragma omp parallel for,64,128,128,balanced,threads,0.13109500000000002,1410.8772039413452
32,200, ,#pragma omp parallel for,96,128,40,balanced,threads,0.09614500000000001,1425.382868051529
192,800, , ,32,64,128,scatter,threads,0.19901000000000002,1440.1665630340576
16,640,#pragma clang loop unrolling full, ,64,96,200,none,cores,0.155735,1454.7465119361877
8,2000, ,#pragma omp parallel for,64,128,100,explicit,threads,0.27724000000000004,1469.7913799285889
4,640,#pragma clang loop unrolling full, ,128,128,20,scatter,threads,0.49887,1485.5079255104065
32,2000, , ,4,2,40,explicit,sockets,0.12394,1499.9422645568848
16,1600,#pragma clang loop unrolling full, ,2,256,128,balanced,sockets,0.13250499999999998,1514.306343793869
32,1280,#pragma clang loop unrolling full, ,256,8,20,explicit,threads,0.12457499999999999,1528.751499414444
192,400,#pragma clang loop unrolling full,#pragma omp parallel for,32,2,200,none,sockets,0.18374000000000001,1544.0436701774597
48,100, , ,64,4,128,compact,sockets,0.105795,1558.4704942703247
48,1600,#pragma clang loop unrolling full, ,16,32,80,balanced,sockets,0.178925,1573.090264081955
8,1600,#pragma clang loop unrolling full,#pragma omp parallel for,4,96,100,balanced,sockets,0.25509000000000004,1588.2922434806824
48,1280,#pragma clang loop unrolling full, ,96,64,128,balanced,sockets,0.15123,1602.6852893829346
128,200, , ,16,128,80,explicit,sockets,0.164775,1617.266305923462
192,2000,#pragma clang loop unrolling full,#pragma omp parallel for,8,8,20,scatter,threads,0.358175,1632.9904205799103
16,100, , ,4,32,64,scatter,sockets,0.13155,1647.4205508232117
8,200, , ,256,32,160,disabled,cores,0.245855,1662.2588520050049
2,200,#pragma clang loop unrolling full, ,64,16,80,balanced,sockets,0.9742,1679.0842804908752
128,1600,#pragma clang loop unrolling full,#pragma omp parallel for,2,8,40,scatter,sockets,0.287935,1695.0867040157318
192,1600,#pragma clang loop unrolling full,#pragma omp parallel for,4,32,80,explicit,cores,0.3977,1710.6850275993347
16,800, ,#pragma omp parallel for,32,4,64,scatter,cores,0.155325,1725.4183886051178
4,800,#pragma clang loop unrolling full, ,64,96,10,compact,threads,0.57299,1741.219559431076
2,1280, ,#pragma omp parallel for,16,96,100,compact,sockets,1.00907,1758.4406325817108
256,1600,#pragma clang loop unrolling full,#pragma omp parallel for,16,64,40,none,threads,0.499305,1774.703885793686
96,800, ,#pragma omp parallel for,4,128,64,explicit,cores,0.23715,1792.7459642887115
2,2000, ,#pragma omp parallel for,96,256,100,none,threads,0.984015,1812.3124632835388
16,100, , ,32,32,40,scatter,threads,0.13109500000000002,1826.8542079925537
8,1600,#pragma clang loop unrolling full,#pragma omp parallel for,96,2,128,explicit,cores,0.25771,1842.0643162727356
4,200,#pragma clang loop unrolling full, ,64,4,64,compact,cores,0.573305,1862.5565648078918
64,800, , ,128,8,100,none,sockets,0.24736999999999998,1882.4163916110992
256,200, ,#pragma omp parallel for,128,16,64,scatter,cores,0.17187999999999998,1897.3431732654572
8,400, , ,8,128,128,disabled,cores,0.24806499999999998,1918.402829170227
8,1280,#pragma clang loop unrolling full,#pragma omp parallel for,8,16,160,disabled,threads,0.25348000000000004,1934.228735923767
192,640, , ,4,32,128,compact,threads,0.20625,1948.7429687976837
64,2000,#pragma clang loop unrolling full,#pragma omp parallel for,2,96,200,scatter,sockets,0.183,1968.6805500984192
2,2000,#pragma clang loop unrolling full,#pragma omp parallel for,64,8,20,compact,cores,0.9746300000000001,1985.8488178253174
8,400,#pragma clang loop unrolling full,#pragma omp parallel for,64,2,10,disabled,sockets,0.250985,2000.9425384998322
192,1000,#pragma clang loop unrolling full,#pragma omp parallel for,4,16,128,disabled,sockets,0.33559000000000005,2016.465282201767
4,800,#pragma clang loop unrolling full, ,128,64,100,scatter,cores,0.5042899999999999,2032.0398254394531
32,100,#pragma clang loop unrolling full, ,128,64,40,balanced,cores,0.09517500000000001,2046.2684440612793
8,1000, ,#pragma omp parallel for,128,128,10,disabled,cores,0.26127,2061.4674389362335
32,2000,#pragma clang loop unrolling full, ,64,2,100,scatter,threads,0.18425999999999998,2075.885874271393
96,200,#pragma clang loop unrolling full,#pragma omp parallel for,256,256,100,disabled,cores,0.141235,2090.577454805374
256,1280, ,#pragma omp parallel for,2,96,64,compact,sockets,0.376455,2106.3315200805664
8,200,#pragma clang loop unrolling full, ,64,16,10,compact,threads,0.316335,2121.3455295562744
8,100, , ,2,4,20,disabled,threads,0.24818,2136.2306599617004
96,200, , ,4,8,200,explicit,sockets,0.1493,2150.6557037830353
128,2000, , ,32,32,64,disabled,cores,0.332955,2165.7484426498413
96,400, , ,8,64,20,compact,cores,0.143895,2180.1361706256866
256,1280,#pragma clang loop unrolling full,#pragma omp parallel for,128,96,20,disabled,cores,0.39820500000000003,2200.5684463977814
64,640, , ,2,2,100,balanced,threads,0.15983999999999998,2221.5074343681335
2,2000, ,#pragma omp parallel for,96,2,10,explicit,sockets,0.9797800000000001,2238.8046383857727
2,2000, , ,4,16,20,scatter,cores,0.989385,2259.479261636734
8,400,#pragma clang loop unrolling full, ,256,4,20,scatter,threads,0.25145,2274.9735679626465
192,2000, ,#pragma omp parallel for,96,256,80,balanced,sockets,0.36165499999999995,2290.9639613628387
96,100, ,#pragma omp parallel for,64,2,160,none,cores,0.129145,2305.76447224617
256,1600, , ,16,32,80,compact,cores,0.408185,2321.1433210372925
256,1000, , ,16,96,200,compact,threads,0.30583000000000005,2336.6523072719574
8,800,#pragma clang loop unrolling full,#pragma omp parallel for,8,32,100,balanced,cores,0.256095,2351.8720438480377
48,1600, ,#pragma omp parallel for,128,64,40,none,sockets,0.219,2366.7754747867584
32,1600,#pragma clang loop unrolling full, ,4,256,64,scatter,threads,0.16948000000000002,2381.1834733486176
96,1000, , ,16,256,80,scatter,cores,0.17417,2395.895511865616
8,1280, ,#pragma omp parallel for,128,16,128,scatter,sockets,0.25255,2410.8866860866547
4,200, ,#pragma omp parallel for,64,128,160,scatter,sockets,0.49084,2426.748433828354
8,100, , ,2,16,10,explicit,cores,0.248225,2442.1109852790833
192,1000,#pragma clang loop unrolling full, ,256,96,200,disabled,threads,0.31684,2457.5097386837006
256,200, ,#pragma omp parallel for,16,8,200,disabled,sockets,0.16473,2483.109705924988
4,200,#pragma clang loop unrolling full, ,32,32,80,explicit,cores,0.49383,2506.737819671631
128,2000, ,#pragma omp parallel for,2,2,20,none,sockets,0.31954499999999997,2529.332813024521
192,800,#pragma clang loop unrolling full,#pragma omp parallel for,64,256,40,explicit,sockets,0.28888,2545.1730663776398
16,800, ,#pragma omp parallel for,32,32,40,balanced,threads,0.13194,2560.7268533706665
48,800,#pragma clang loop unrolling full,#pragma omp parallel for,32,256,128,compact,sockets,0.1634,2575.545064687729
2,100, ,#pragma omp parallel for,4,2,40,scatter,cores,0.9814400000000001,2592.696172952652
4,400,#pragma clang loop unrolling full, ,8,4,80,compact,cores,0.5765,2608.625447511673
96,1280,#pragma clang loop unrolling full,#pragma omp parallel for,96,128,64,balanced,threads,0.15746,2623.3877754211426
64,1600,#pragma clang loop unrolling full,#pragma omp parallel for,256,4,128,compact,sockets,0.14077,2638.174553632736
96,640, ,#pragma omp parallel for,32,128,10,explicit,threads,0.24177500000000002,2653.4196457862854
32,200, , ,128,96,200,scatter,threads,0.10083500000000001,2667.612385034561
256,400, , ,64,128,200,disabled,threads,0.21167000000000002,2682.372540950775
2,2000,#pragma clang loop unrolling full,#pragma omp parallel for,8,32,40,scatter,cores,0.976105,2699.576529979706
64,1280,#pragma clang loop unrolling full, ,16,256,160,disabled,cores,0.2163,2714.640988111496
128,200,#pragma clang loop unrolling full,#pragma omp parallel for,64,8,160,explicit,sockets,0.14697,2730.6998879909515
