p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,elapsed_sec
8,1600,#pragma clang loop unrolling full,#pragma omp parallel for,96,2,128,explicit,cores,2.4781,2531.234428167343
4,200,#pragma clang loop unrolling full, ,64,4,64,compact,cores,5.8809249999999995,2562.8018867969513
64,800, , ,128,8,100,none,sockets,1.031645,2579.9325711727142
256,200, ,#pragma omp parallel for,128,16,64,scatter,cores,1.002265,2597.4767305850983
8,400, , ,8,128,128,disabled,cores,2.482715,2619.0989286899567
8,1280,#pragma clang loop unrolling full,#pragma omp parallel for,8,16,160,disabled,threads,2.5857099999999997,2641.105887413025
192,640, , ,4,32,128,compact,threads,1.095175,2658.4284706115723
64,2000,#pragma clang loop unrolling full,#pragma omp parallel for,2,96,200,scatter,sockets,1.149425,2676.102387905121
2,2000,#pragma clang loop unrolling full,#pragma omp parallel for,64,8,20,compact,cores,9.972245000000001,2720.2615852355957
8,400,#pragma clang loop unrolling full,#pragma omp parallel for,64,2,10,disabled,sockets,2.4806100000000004,2742.007892847061
192,1000,#pragma clang loop unrolling full,#pragma omp parallel for,4,16,128,disabled,sockets,1.30959,2760.6933896541595
4,800,#pragma clang loop unrolling full, ,128,64,100,scatter,cores,5.07668,2790.195669412613
32,100,#pragma clang loop unrolling full, ,128,64,40,balanced,cores,0.923675,2812.3432071208954
8,1000, ,#pragma omp parallel for,128,128,10,disabled,cores,2.487885,2834.634331703186
32,2000,#pragma clang loop unrolling full, ,64,2,100,scatter,threads,1.04421,2851.675249814987
96,200,#pragma clang loop unrolling full,#pragma omp parallel for,256,256,100,disabled,cores,0.963365,2869.122125864029
256,1280, ,#pragma omp parallel for,2,96,64,compact,sockets,1.3675199999999998,2887.738909959793
8,200,#pragma clang loop unrolling full, ,64,16,10,compact,threads,3.17246,2914.4346623420715
8,100, , ,2,4,20,disabled,threads,2.5575,2936.0504672527313
96,200, , ,4,8,200,explicit,sockets,0.9690099999999999,2953.111076116562
128,2000, , ,32,32,64,disabled,cores,1.2321849999999999,2970.994905233383
96,400, , ,8,64,20,compact,cores,0.9862500000000001,2988.1345558166504
256,1280,#pragma clang loop unrolling full,#pragma omp parallel for,128,96,20,disabled,cores,1.3386,3007.052777528763
64,640, , ,2,2,100,balanced,threads,0.97338,3024.240385055542
2,2000, ,#pragma omp parallel for,96,2,10,explicit,sockets,9.92972,3068.4845464229584
2,2000, , ,4,16,20,scatter,cores,9.95731,3117.270141839981
8,400,#pragma clang loop unrolling full, ,256,4,20,scatter,threads,2.4789950000000003,3139.553624153137
192,2000, ,#pragma omp parallel for,96,256,80,balanced,sockets,1.189555,3158.029668569565
96,100, ,#pragma omp parallel for,64,2,160,none,cores,0.9550350000000001,3175.2983253002167
256,1600, , ,16,32,80,compact,cores,1.24512,3193.397188425064
256,1000, , ,16,96,200,compact,threads,1.0825749999999998,3210.643089056015
8,800,#pragma clang loop unrolling full,#pragma omp parallel for,8,32,100,balanced,cores,2.47666,3232.5523080825806
48,1600, ,#pragma omp parallel for,128,64,40,none,sockets,1.106665,3250.2263820171356
32,1600,#pragma clang loop unrolling full, ,4,256,64,scatter,threads,1.0170400000000002,3267.3865711688995
96,1000, , ,16,256,80,scatter,cores,1.0812599999999999,3284.646961450577
8,1280, ,#pragma omp parallel for,128,16,128,scatter,sockets,2.484595,3306.6083273887634
4,200, ,#pragma omp parallel for,64,128,160,scatter,sockets,5.054675,3335.994431734085
8,100, , ,2,16,10,explicit,cores,2.47877,3357.4676444530487
192,1000,#pragma clang loop unrolling full, ,256,96,200,disabled,threads,1.2668949999999999,3375.6472520828247
256,200, ,#pragma omp parallel for,16,8,200,disabled,sockets,1.02882,3393.347419023514
4,200,#pragma clang loop unrolling full, ,32,32,80,explicit,cores,4.956505,3422.732416152954
128,2000, ,#pragma omp parallel for,2,2,20,none,sockets,1.2540399999999998,3447.92014503479
192,800,#pragma clang loop unrolling full,#pragma omp parallel for,64,256,40,explicit,sockets,1.230285,3466.966647386551
16,800, ,#pragma omp parallel for,32,32,40,balanced,threads,1.27313,3485.3341660499573
48,800,#pragma clang loop unrolling full,#pragma omp parallel for,32,256,128,compact,sockets,0.9699949999999999,3502.6530430316925
2,100, ,#pragma omp parallel for,4,2,40,scatter,cores,9.874749999999999,3546.7870190143585
4,400,#pragma clang loop unrolling full, ,8,4,80,compact,cores,5.768105,3578.3517258167267
96,1280,#pragma clang loop unrolling full,#pragma omp parallel for,96,128,64,balanced,threads,1.0737299999999999,3596.3819258213043
64,1600,#pragma clang loop unrolling full,#pragma omp parallel for,256,4,128,compact,sockets,0.99808,3613.80016374588
96,640, ,#pragma omp parallel for,32,128,10,explicit,threads,1.05627,3631.407826900482
32,200, , ,128,96,200,scatter,threads,0.946785,3648.4238574504852
256,400, , ,64,128,200,disabled,threads,1.0910099999999998,3665.735969543457
2,2000,#pragma clang loop unrolling full,#pragma omp parallel for,8,32,40,scatter,cores,9.954875,3710.0111100673676
64,1280,#pragma clang loop unrolling full, ,16,256,160,disabled,cores,1.070675,3727.1704289913177
128,200,#pragma clang loop unrolling full,#pragma omp parallel for,64,8,160,explicit,sockets,0.9913799999999999,3745.139107942581
48,1000, ,#pragma omp parallel for,4,128,64,balanced,sockets,0.98799,3762.5382719039917
128,1280,#pragma clang loop unrolling full,#pragma omp parallel for,128,96,160,disabled,sockets,1.20862,3780.6945028305054
8,400, , ,32,16,20,disabled,sockets,2.48003,3802.367454767227
16,400,#pragma clang loop unrolling full, ,8,8,10,explicit,sockets,1.26959,3820.233929157257
2,100,#pragma clang loop unrolling full,#pragma omp parallel for,32,2,10,explicit,sockets,9.983095,3864.6452469825745
256,1280, , ,96,32,128,explicit,cores,1.543245,3883.2829830646515
4,640, , ,8,8,40,none,cores,4.944195000000001,3912.310482740402
4,640,#pragma clang loop unrolling full,#pragma omp parallel for,16,96,40,none,cores,5.021235,3941.60674905777
96,1280, ,#pragma omp parallel for,4,256,64,compact,sockets,1.124845,3959.4533722400665
192,1280,#pragma clang loop unrolling full, ,16,64,100,disabled,cores,1.416485,3977.8760306835175
256,800, , ,256,16,128,balanced,threads,1.3202099999999999,3996.3380949497223
4,1000,#pragma clang loop unrolling full, ,96,16,160,balanced,threads,4.86927,4025.2585487365723
128,1600, ,#pragma omp parallel for,16,128,128,balanced,cores,1.110495,4043.1789269447327
32,200,#pragma clang loop unrolling full, ,96,16,128,scatter,sockets,0.938225,4060.1239142417908
128,100, , ,256,32,20,compact,cores,0.953715,4077.1876406669617
4,800, , ,96,4,10,disabled,cores,4.94283,4106.247829198837
256,1280,#pragma clang loop unrolling full, ,64,64,100,disabled,threads,1.659475,4125.424697875977
2,100, ,#pragma omp parallel for,128,256,10,disabled,threads,9.990815000000001,4169.686858892441
128,100,#pragma clang loop unrolling full, ,256,2,64,balanced,sockets,1.251185,4188.906315088272
48,100, ,#pragma omp parallel for,4,128,128,compact,cores,0.927535,4214.893539428711
96,640, ,#pragma omp parallel for,4,64,40,compact,threads,1.006855,4232.471734523773
256,1000, , ,64,4,80,disabled,cores,1.2813400000000001,4250.6087119579315
48,200,#pragma clang loop unrolling full, ,16,32,100,scatter,cores,0.9401349999999999,4267.582104206085
64,640, , ,4,64,40,scatter,cores,0.9842949999999999,4284.6721732616425
96,2000, , ,96,2,200,explicit,sockets,1.21041,4302.422850608826
32,800, ,#pragma omp parallel for,4,16,100,scatter,sockets,0.975545,4319.834752321243
16,400,#pragma clang loop unrolling full,#pragma omp parallel for,16,16,160,disabled,cores,1.26186,4337.927313327789
256,1600, , ,4,2,20,none,sockets,1.33687,4356.371616840363
96,400,#pragma clang loop unrolling full,#pragma omp parallel for,256,2,100,none,cores,0.99444,4373.799263238907
