p0,p1,p2,p3,p4,p5,objective,elapsed_sec
 , , ,128,8,50,0.000132,854.844441652298
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,8,2048,4,0.000371,862.5563802719116
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,64,16,100,0.00016350000000000002,870.2459290027618
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,50,8,0.00015549999999999999,881.025972366333
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,128,4,0.000155,886.8912162780762
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,8,32,0.0001455,893.8330826759338
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,50,100,20,0.00015549999999999999,902.0873744487762
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,20,4,0.0005740000000000001,909.1075234413147
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,2048,256,0.000162,917.0570740699768
 , , ,100,8,128,0.0001475,924.2426657676697
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,2048,4,0.0001965,930.465847492218
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,80,80,64,0.0001385,936.8301022052765
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,50,8,0.0001875,944.6057934761047
 , , ,16,16,80,0.00013900000000000002,951.1864924430847
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,32,80,64,0.000221,958.4578313827515
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,80,16,0.000152,968.1586239337921
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,32,8,4,0.0001915,975.3816776275635
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,100,50,16,0.0002095,983.257584810257
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,128,128,0.000147,991.6036951541901
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,2048,50,0.00014,998.8229947090149
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,4,64,20,0.000137,1005.6968529224396
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,8,4,0.0002365,1013.2452275753021
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,80,64,0.0001385,1019.5113306045532
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,2048,64,0.000143,1026.8872861862183
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,32,32,0.000135,1033.842967748642
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,64,16,4,0.00020449999999999998,1041.658329963684
 , , ,80,16,256,0.000137,1048.0634589195251
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,64,64,0.000169,1054.6100044250488
 , , ,100,50,50,0.00013,1061.3081204891205
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,80,64,20,0.00013299999999999998,1068.0412611961365
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,80,128,50,0.00022400000000000002,1075.167282819748
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,50,64,8,0.000156,1081.7280404567719
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,64,80,0.00017299999999999998,1089.8549945354462
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,80,100,256,0.0001585,1096.2239389419556
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,20,20,20,0.000209,1104.242380619049
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,32,20,0.000135,1111.6771116256714
 , , ,128,32,128,0.000135,1117.750303030014
